IDENTIFIER,Total Bill Amount,Monthly Income,Total monthly rent,Rent as % of income formula,State Code,Organisation Code
DRETMQ,1184.4,2003.8,394.8,0.2,6,Q
EPXHPF,3067.5,2704.75,790,0.29,2,D
CKPSTQ,3000,5860.98,2640,0.45,5,N
GEOLMM,5129.01,1792.08,1652,0.92,2,I
RMUJRY,2000,1340.6,1235,0.92,2,D
SGJRKC,3250,2646.48,1385.8,0.52,2,G
KNBSXA,3000,1722,1200,0.7,2,E
QPJUBT,3214.4,918,835.2,0.91,2,D
KAHKPS,2965.63,1734,912.5,0.53,2,D
AWILXI,2935.5,2521.55,1202.98,0.48,2,E
TULCMX,2254,3049.44,751.333,0.25,2,F
QSENSQ,2751,2609,916.6,0.35,1,A
CQCRWX,3000,2033.62,1955,0.96,2,E
ZULSNJ,3250,3495.64,2086,0.6,2,G
LIZJJZ,2846,2040.9,782,0.38,2,D
XNRTEN,3000,2299,1720,0.75,2,E
QJYCHF,3000,3440,2000,0.58,2,E
AVWBAR,1506.4,1543,418.8,0.27,2,E
GOYYKN,2376.3,1965.1,792.2,0.4,1,A
YZGFMS,850,362,404,1.12,2,F
FSJDDG,1390.75,3563.24,380.25,0.11,2,G
SPKOHJ,3000,1292,1500,1.16,2,F
CCJJGT,3000,3967,1350,0.34,2,F
DSBHLH,1659.72,1292,553.24,0.43,2,F
VLVUVV,1837.6,4212.53,529.2,0.13,1,A
QGFOKH,1990,1290,780,0.6,2,H
SNPTAO,2281.26,2324.4,760.42,0.33,2,F
CHJANU,2760,2092,920,0.44,2,K
CQYSAW,2536.8,1661.6,845.6,0.51,2,B
FCNSBD,1988.01,980,579.35,0.59,2,K
NBXXDA,3500,5922.7,1603,0.27,2,G
BURWGK,3250,4226.69,1045.6,0.25,2,E
LJWGBX,3000,3857.12,1529.6,0.4,4,M
BXCYRA,3000,4779,1087,0.23,2,C
XEPHVJ,3000,2943.2,1138.5,0.39,2,C
OBRMHH,3000,3144.76,1170.4,0.37,4,M
NQFTJI,2548.6,3432.98,1304.8,0.38,2,F
VYFMAI,3000,5518.79,1999,0.36,2,F
QMARGV,3000,3292,1000,0.3,2,G
ZRHNTD,2240,3821.52,796,0.21,2,E
MIFLUO,3000,2546.6,1026.4,0.4,1,A
IRLQPA,3250,3482,1222,0.35,2,F
UFVUWZ,2038,2075.04,580,0.28,2,C
KYHJUO,2074.99,901.17,608.33,0.68,2,D
NAWQRS,3000,2852,1410.8,0.49,1,A
EHTTPL,3213.1,1543,553.22,0.36,2,F
JFAUKU,3250,1793.94,1065,0.59,2,D
IHYCIS,985.8,1340.6,328.6,0.25,2,E
ALRVRC,1553.2,1463,434.4,0.3,2,E
FBWKVD,1722,2722,574.4,0.21,6,Q
KLEDIY,2660.4,2652.48,886.8,0.33,1,A
SBUGAQ,3250,8445.44,674,0.08,1,A
VQMLHR,3000,3486.08,1160,0.33,5,N
OSHDJJ,3173.5,3052.9,1847,0.6,2,C
HGOCWP,1461.6,3483.3,649.6,0.19,1,A
NLDGBK,1957.6,1523,569.2,0.37,2,E
HOBFIC,2535.25,1933,780.2,0.4,1,A
BQBIVI,2728,3318.06,826,0.25,1,A
PCAOKH,3250,1189.52,1800,1.51,3,L
BKVTTE,2400,3114,960,0.31,2,G
IWCUPS,2411.2,3046.66,720.4,0.24,2,G
JMMTIL,2072.98,1700.34,607.66,0.36,2,D
JJUWCU,2110,1864,620,0.33,1,A
UCYDPR,3000,2286.66,1080,0.47,1,A
YRPYTG,2580.25,4592.75,717,0.16,2,F
LMUMDN,3500,3349,1521,0.45,2,G
OWXEHN,2868,3188,956,0.3,2,G
KTUMEI,3000,1587.2,1084,0.68,2,K
RENPDC,3000,3589.28,1600,0.45,3,L
AEGBEZ,2610,1231.5,870,0.71,2,E
XXXOYR,2640,2017.4,880,0.44,2,G
KXEQZW,978.7,1292,391.48,0.3,2,F
OFFKKX,978.31,1782.1,978.31,0.55,3,R
CRIPVF,1860,1877.6,620,0.33,1,A
VOTLNH,3000,3607.73,1300,0.36,3,L
QKPFZB,2660.4,2609,886.8,0.34,1,A
GNQXUM,2908.9,1455.6,741.2,0.51,2,E
OLKTCN,3250,2578,1079.8,0.42,2,B
HMWEWI,1659.72,1292,553.24,0.43,2,F
SZFMIZ,2531.5,1439,760.5,0.53,2,D
XQBZFX,3000,3137.76,1738,0.55,2,H
FKQENQ,3000,1885.6,1390.48,0.74,2,G
RFPFMQ,2898,2711.2,966,0.36,1,A
FETIGV,1148.4,2607.8,510.4,0.2,1,A
PCAELS,3000,3729.12,1738,0.47,2,G
YXPDYA,841.5,1888.02,374,0.2,1,A
RFCKKU,1298.25,1292,519.3,0.4,2,H
GBASKF,3000,2658.4,2145,0.81,2,G
XGNAPC,3000,2307.6,1056.18,0.46,2,F
DDCCNX,1897.2,1573.6,632.4,0.4,1,A
IKPHPN,3000,3491.58,1200,0.34,4,M
KGPIEN,3000,3275.566,1040,0.32,5,N
BHBAIR,2340,4073.35,780,0.19,5,N
RGHFAZ,2462.4,1579.8,820.8,0.52,2,T
RLXRRB,3000,2834.8,1315.14,0.46,2,E
TATETS,3000,1412.4,1440,1.02,5,N
PXMIZT,2389,1876.07,796.33,0.42,2,H
TPJKKE,2059.5,1482,686.5,0.46,2,C
BLIGPF,3000,2044.6,1170,0.57,5,N
BDNUHO,3080.6,1590.46,860.2,0.54,2,B
FPIELF,3250,1555.9,1080,0.69,2,K
YTJNAF,3000,2580.84,1125.8,0.44,5,S
GCQWLI,3000,2013,2216,1.1,2,G
AYIWQW,2229.73,1778.48,659.91,0.37,2,F
QKZGHE,2145,2924.92,715,0.24,2,K
ZYDDGN,2112.5,1637.4,650,0.4,2,K
SGRHYP,3000,1750.4,1580,0.9,5,N
DNQBEH,3000,2461.12,1400,0.57,3,O
CQXZEB,3000,4366.2,1200,0.27,3,O
DFOGDF,2054,1903.7,632,0.33,1,A
CSOGQS,3250,1252,1084,0.87,2,K
HPPPLX,3250,1302,1087,0.83,2,E
TAAAQI,2280,1903.7,760,0.4,1,A
RHANBJ,1981.8,1616.8,660.6,0.41,2,F
OOFEOL,3250,3195,1955,0.61,2,G
TQEXVP,2500,4167.27,1000,0.24,2,K
JIHQRH,3000,3189.9,1300,0.41,3,L
VVLAOZ,3000,3370.84,1738.09,0.52,2,H
XADOFA,2837.4,2695.3,945.8,0.35,1,A
ICIXTF,2838,2695.3,946,0.35,1,A
BNJNSM,3000,3529.88,1960,0.56,2,F
QROAHO,3000,1806.7,1043,0.58,2,K
EAUOAG,3000,2976.9,1053.5,0.35,2,B
EHKXZO,1178.1,2711.2,523.6,0.19,1,A
JBHNDN,2133.6,2009.6,711.2,0.35,6,Q
GRCBBS,1897.2,1973.6,632.4,0.32,1,A
SJOBOD,3000,5006.1,2600,0.52,5,N
PJHEAI,3000,1942,1000,0.51,2,K
YJQJGW,3000,2284.14,1130,0.49,2,G
ZJBHTT,2362.5,1814.96,787.5,0.43,2,K
XVQQJZ,3000,4565.76,2140,0.47,5,N
OKRVLJ,2940,2390.17,980,0.41,3,U
XRZESD,1006.8,1292,335.6,0.26,2,F
ZGYIPG,1390.75,1529.6,380.25,0.25,2,G
ODFJEA,2254.03,1292,731.55,0.57,2,F
JKGUAC,3000,3461.68,2160,0.62,5,N
IHONSP,3000,4460.44,1260,0.28,4,M
OXOBEF,3000,2935.96,1102.4,0.38,4,M
WCGHOM,1431.6,1562.5,715.8,0.46,2,B
OBJYJR,3000,4755.24,1940,0.41,4,M
CGACXK,3500,1899.14,1600,0.84,2,D
DQRIYB,4500,1751.4,2129.15,1.22,2,I
HEDKPO,2210.75,1868.8,674.66,0.36,2,G
XBZHEN,3250,6296.79,1043,0.17,2,G
RMGUYY,3250,1573.6,1021.13,0.65,2,D
GGDNZZ,2297.6,1146,599.8,0.52,2,K
HKHSBP,1180.8,2081.2,393.6,0.19,6,Q
YSFTTE,2287.44,1527,643.72,0.42,2,F
RTBEDC,3250,3357.68,1240,0.37,4,M
IOIFJV,3000,5164.52,2000,0.39,5,N
OHSJBQ,3250,3113,1955,0.63,2,F
QDGPWU,2686.76,1573.6,1164.8,0.74,3,L
ZLGMAP,2411.2,1543,720.4,0.47,2,G
RIYPDY,1900,1855.2,550.35,0.3,2,D
SYLDZF,3000,3922.54,2280,0.58,5,N
EMFVGS,2932.5,2148.47,977.5,0.45,2,D
PPFHFZ,3140.33,2952,812.41,0.28,2,K
VODJCB,2498.4,2314.44,832.8,0.36,1,A
XJSVCV,3000,1831.533,1108,0.6,2,H
QVZHTE,3000,5344.44,1600,0.3,5,N
IKIAPI,1640.75,1292,380.25,0.29,2,G
JCGBEP,2273.76,1587.2,757.92,0.48,2,E
KNAZMP,3000,1622.2,1043,0.64,2,G
XCVOSH,2400,2711.2,1860,0.69,6,Q
FRCIXV,3000,3086.2,1165.6,0.38,5,S
GKFOPN,3000,1113.24,1651,1.48,2,G
TNVSOY,2641.2,1890.1,880.4,0.47,1,A
JZJZJZ,3000,4412.6,2220,0.5,5,N
HTMACI,2143.8,1909,714.6,0.37,1,A
LKWRXJ,2499.33,2932,681,0.23,2,K
JTQLCC,3000,3433.88,1137,0.33,2,P
BVXEHR,2650,3551.28,960,0.27,2,G
WXXPDN,2932.5,1729.8,977.5,0.57,2,B
QAFHZX,3000,2654.2,807.2,0.3,3,O
TEJKIQ,2198.5,1194.03,649.5,0.54,2,D
QVMQSQ,3000,1953.393,1303.5,0.67,2,K
QJTNZQ,3250,1542.94,1065,0.69,2,D
OBCMSA,2845.8,3933,948.6,0.24,4,M
VIKKXC,1180,1995.6,440,0.22,1,A
UVCJCW,3000,2105.54,1053.5,0.5,2,K
NLQFIC,3750,3957.04,1198.4,0.3,2,F
UCUOAL,2648.9,2609,824.8,0.32,1,A
SZMOCZ,2070,3062.26,690,0.23,6,Q
ATPFCL,3000,2882.4,1955,0.68,2,H
WUKKSB,3000,2048,1200,0.59,2,P
RZRVYO,3000,670,1303.5,1.95,2,K
VOQMBU,3250,1542,1347.025,0.87,2,D
GMDNWI,1425.6,0,1452,#Error!,5,N
HZRRDD,2241.36,1717.3,747.12,0.44,2,E
NXCUYX,3421,1889.2,1217,0.64,2,G
HDGZFW,3250,1682,1000,0.59,2,H
UQVJBK,2176,3076,642,0.21,1,A
XQPNGQ,3000,4751.94,2000,0.42,2,P
EPKJBZ,3500,1892.4,1083,0.57,2,F
OUSQOZ,1612,1292,644.8,0.5,2,G
BVIJSR,3000,3398.94,1476,0.43,5,S
TRBQXT,3000,4925.56,2600,0.53,5,N
LXQLYP,2520,3004.84,840,0.28,5,N
TZHGBR,3250,3358,1651,0.49,2,D
EUEWOS,3000,2496.68,1197.2,0.48,5,S
RBVJHA,3250,3868,1521,0.39,2,F
QZCYPT,2781.5,1439,760.5,0.53,2,D
WKRVAC,3000,4899.66,1065.2,0.22,2,P
PEESMB,3000,1442.8,2000,1.39,2,J
NDLXBQ,2940,2287.42,980,0.43,3,U
NLWHDD,3750,2766,1304,0.47,2,E
FDFVSB,2868,4116,956,0.23,2,G
AIDRIG,2857,2534,869,0.34,2,K
SLNBRV,3000,3353.48,1738,0.52,2,H
WAQARC,2862.6,1469.54,880.8,0.6,2,B
OVLLNR,2088,1762,696,0.4,2,D
YHJEZP,3000,3459.8,2200,0.64,2,I
RABVPP,3000,3469,1781,0.51,2,H
UEVAUU,1797.6,910.5,599.2,0.66,2,K
ZDSXWT,2496,2095.74,832,0.4,6,Q
IIBAOW,2257.4,1765.1,785.8,0.45,6,Q
ZQIINO,2291.88,2014.14,763.96,0.38,4,M
GGNJKR,2400,1516,800,0.53,2,D
DAQKWN,3250,2314,1738,0.75,2,C
EHGLQO,2866,1398,404,0.29,2,F
KPEVML,3500,3343.61,1521,0.45,2,G
CVYYJV,1390.75,1184,380.25,0.32,2,G
FVPRAZ,1979.73,1912.64,659.91,0.35,2,F
ZYXWOE,3000,5864.52,2600,0.44,5,N
UZNOFV,3000,3279.453333,2000,0.61,5,N
UVQZAO,1879.45,854.7,724.2,0.85,2,B
RUZLUN,3250,3045.56,1196.84,0.39,2,E