IDENTIFIER,Total Bill Amount,Monthly Income,Total monthly rent,Rent as % of income formula,State Code,Organisation Code,"ZAPIER_RF - Form of homelessness Experienced (Primary, Secondary and Teritary)",ZAPIER_RF - Currently experiencing,ZAPIER_RF - GENDER AND AGE,ZAPIER_RF - CULTURAL,ZAPIER_RF - HUMAN CAPITAL,ZAPIER_RF - RELATIONSHIP,ZAPIER_RF - HEALTH,ZAPIER_RF - EXITING INSTITUTIONS,ZAPIER_RF - PREVIOUS OR INTERGENERATIONAL HOMELESSNESS,ZAPIER_Gender,ZAPIER_Age,ZAPIER_Dependents,ZAPIER_RF - Currently experiencing (Resolved),ZAPIER_Age Group,SM3_I am still living in the same property that I was when I got approved for Kickstarter,SM3_Which best describes where you are now living?This helps us understand if/how the Kickstarter payments have helped you. ,SM3_I feel safe in my current home:,SM3_I feel safe in the area I live:,"SM3_I feel I could pay my rent now, without getting an extra boost via the Kickstarter program.","SM3_In the past two months, have you run short of money and couldn't pay your rent?","SM3_If so, how much of your rent have you been able to pay across the last two months?","SM3_Electricity, gas or phone bill - No money to pay bills last 2 month","SM3_Car repair, rego or insurance  - No money to pay bills last 2 month",SM3_Food  - No money to pay bills last 2 month,"SM3_Credit card balance or debts, e.g. Afterpay  - No money to pay bills last 2 month",SM3_All expenses  - No money to pay bills last 2 month,SM3_How do you feel about having enough money to pay your rent and cover all your other important expenses with what you currently have?,SM3_Which best describes how you feel right now about looking after your home?,SM6_I am still living in the same property that I was when I got approved for Kickstarter2,SM6_Which best describes where you are now living?This helps us understand if/how the Kickstarter payments have helped you. The answer to your question will not affect your survey payment.,SM6_What was the main reason behind you moving?,SM6_Please choose the option that best describes you most of the time:,SM6_I feel safe in my current home:2,SM6_I feel safe in the area I live:2,SM6_I feel my current rent is affordable for me.,SM6_Please choose the answer that best describes you most of the time:,"SM6_In the past 2 months, have you ever not had enough money to pay rent?","SM6_Electricity, gas or phone bill?  - No money to pay bills last 2 month",SM6_Car rego or insurance?  - No money to pay bills last 2 month,SM6_Credit cards or buy now pay later?  - No money to pay bills last 2 month,SM6_All your bills?  - No money to pay bills last 2 month,SM6_Please choose the answer that best describes you most of the time:_1
AEGBEZ,2610.0,1231.5,870.0,0.71,2,E,Secondary,Secondary,Y,,Y,Y,Y,,,Man,23.0,0,Secondary,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIDRIG,2857.0,2534.0,869.0,0.34,2,K,Secondary,Secondary,Y,,,,,,,Woman,20.0,0,Secondary,18-24,Yes,,Sometimes,Rarely,No,No,,"Electricity, gas or phone bill",,Food,,,I don't feel any different,"3. I want to look after my home better and am trying to make changes, but it's early days",,,,,,,,,,,,,,
ALRVRC,1553.2,1463.0,434.4,0.3,2,E,Secondary,Secondary,Y,Y,,Y,,,Y,Woman,19.0,0,Secondary,18-24,Yes,,Rarely,Usually,No,Yes,One to 3 weeks,"Electricity, gas or phone bill",,Food,,,I don't feel any different,"4. I'm finding ways to look after my home well, but need to sort out a few issues",,,,,,,,,,,,,,
ATPFCL,3000.0,2882.4,1955.0,0.68,2,H,Secondary,Secondary,Y,,,Y,,,Y,Woman,22.0,1,Secondary,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVWBAR,1506.4,1543.0,418.8,0.27,2,E,No,No,Y,Y,,Y,,,,Woman,23.0,0,No,18-24,Yes,,Sometimes,Sometimes,Yes,No,,,,,,No- I have been able to cover all expenses.,I now feel I have it covered,"5. I keep my home safe, warm, and well maintained and report repairs",,,,,,,,,,,,,,
AWILXI,2935.5,2521.55,1202.98,0.48,2,E,No,No,Y,,,,,,,Man,22.0,0,No,18-24,Yes,,Usually,Usually,No,No,,,,Food,"Credit card balance or debts, e.g. Afterpay",,I don't feel any different,"5. I keep my home safe, warm, and well maintained and report repairs",Yes,,,"8. Where I'm living is working for me, with support to maintain this",Always,Usually,Yes,8. I manage my money OK but need support to maintain this,"No, I have been able to pay my rent in full and on time",,,I didn't have enough money to make the minimum repayment on my credit card and/or buy-now-pay-later balance on time (e.g. Afterpay),,"4. I'm finding ways to look after my home well, but need to sort out a few issues"
AYIWQW,2229.73,1778.48,659.91,0.37,2,F,No,No,,,,Y,Y,,,Woman,31.0,2,No,25-34,Yes,,Usually,Usually,Yes,No,,"Electricity, gas or phone bill","Car repair, rego or insurance",,,,I now feel I have it covered,"5. I keep my home safe, warm, and well maintained and report repairs",,,,,,,,,,,,,,
BDNUHO,3080.6,1590.46,860.2,0.54,2,B,Secondary,Secondary,Y,,,,Y,Y,,Woman,18.0,0,Secondary,18-24,,,,,,,,,,,,,,,Yes,,,"9. I live independently and manage my tenancy, with occasional support",Usually,Usually,No,"9. I manage my money well enough, with occasional support","No, I have been able to pay my rent in full and on time",,,,I have had enough money to pay for all my bills,"4. I'm finding ways to look after my home well, but need to sort out a few issues"
BHBAIR,2340.0,4073.35,780.0,0.19,5,N,Secondary,Secondary,Y,Y,,,,,,Man,34.0,1,Secondary,25-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKVTTE,2400.0,3114.0,960.0,0.31,2,G,No,No,Y,,,,,,Y,Man,19.0,0,No,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLIGPF,3000.0,2044.6,1170.0,0.57,5,N,No,No,,,Y,,Y,,,Woman,28.0,2,No,25-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BNJNSM,3000.0,3529.88,1960.0,0.56,2,F,No,No,Y,,Y,,,,,Woman,20.0,2,No,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BQBIVI,2728.0,3318.06,826.0,0.25,1,A,Secondary,Secondary,,,Y,Y,,,Y,Woman,38.0,0,Secondary,35-49,Yes,,Usually,Usually,Yes,No,,"Electricity, gas or phone bill",,,,,I don't feel any different,"5. I keep my home safe, warm, and well maintained and report repairs",,,,,,,,,,,,,,
BURWGK,3250.0,4226.69,1045.6,0.25,2,E,No,No,Y,,Y,Y,Y,Y,Y,Woman,24.0,1,No,18-24,Yes,,Always,Always,No,Yes,Most of the two months,"Electricity, gas or phone bill",,Food,,,I now feel I have it covered,"4. I'm finding ways to look after my home well, but need to sort out a few issues",,,,,,,,,,,,,,
BVIJSR,3000.0,3398.94,1476.0,0.43,5,S,Secondary,Secondary,Y,,Y,Y,Y,,Y,Woman,23.0,0,Secondary,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVXEHR,2650.0,3551.28,960.0,0.27,2,G,No,Tertiary,Y,,Y,Y,,,Y,Man,,0,Tertiary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXCYRA,3000.0,4779.0,1087.0,0.23,2,C,Secondary,No,Y,Y,Y,,,,Y,Man,22.0,0,No,18-24,Yes,,Always,Always,Yes,No,,,,,,,,,,,,,,,,,,,,,,
CCJJGT,3000.0,3967.0,1350.0,0.34,2,F,Secondary,No,Y,,,Y,,,Y,Woman,20.0,0,No,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGACXK,3500.0,1899.14,1600.0,0.84,2,D,No,No,Y,,,,,,,Woman,19.0,0,No,18-24,Yes,,Usually,Usually,Yes,No,,,,Food,"Credit card balance or debts, e.g. Afterpay",,I now feel I have it covered,"5. I keep my home safe, warm, and well maintained and report repairs",,,,,,,,,,,,,,
CHJANU,2760.0,2092.0,920.0,0.44,2,K,Secondary,Secondary,Y,,Y,,,,Y,Man,20.0,0,Secondary,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CKPSTQ,3000.0,5860.98,2640.0,0.45,5,N,No,No,,,,Y,,,,Woman,35.0,7,No,35-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQCRWX,3000.0,2033.62,1955.0,0.96,2,E,Secondary,No,Y,,Y,,,,Y,Man,25.0,0,No,25-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQXZEB,3000.0,4366.2,1200.0,0.27,3,O,Primary and Secondary,Secondary,Y,,,,Y,,Y,Woman,22.0,4,Secondary,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQYSAW,2536.8,1661.6,845.6,0.51,2,B,Secondary,No,Y,,,Y,,Y,,Woman,18.0,0,No,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIPVF,1860.0,1877.6,620.0,0.33,1,A,Secondary,Secondary,Y,,,Y,Y,,Y,Woman,50.0,1,Secondary,50+,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSOGQS,3250.0,1252.0,1084.0,0.87,2,K,Secondary,Secondary,Y,,,Y,Y,Y,Y,Woman,19.0,0,Secondary,18-24,Yes,,Always,Usually,Yes,Yes,Most of the two months,"Electricity, gas or phone bill",,Food,,,I now feel I have it covered,"4. I'm finding ways to look after my home well, but need to sort out a few issues",,,,,,,,,,,,,,
CVYYJV,1390.75,1184.0,380.25,0.32,2,G,Secondary,Secondary,Y,,Y,,,,,Man,22.0,0,Secondary,18-24,Yes,,Sometimes,Rarely,No,Yes,Most of the two months,,,,,No- I have been able to cover all expenses.,I now feel I have it covered,"4. I'm finding ways to look after my home well, but need to sort out a few issues",,,,,,,,,,,,,,
DAQKWN,3250.0,2314.0,1738.0,0.75,2,C,Secondary,Secondary,Y,,,,,,,Man,19.0,0,Secondary,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDCCNX,1897.2,1573.6,632.4,0.4,1,A,No,No,,,Y,,,,Y,Woman,31.0,1,No,25-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFOGDF,2054.0,1903.7,632.0,0.33,1,A,Secondary,No,,,Y,,,Y,Y,Woman,25.0,0,No,25-34,Yes,,Always,Always,Yes,No,,"Electricity, gas or phone bill",,,"Credit card balance or debts, e.g. Afterpay",,I now feel I have it covered,"5. I keep my home safe, warm, and well maintained and report repairs",,,,,,,,,,,,,,
DNQBEH,3000.0,2461.12,1400.0,0.57,3,O,Primary,Primary,Y,,,,,,Y,Man,40.0,0,Primary,35-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQRIYB,4500.0,1751.4,2129.15,1.22,2,I,Primary and Secondary,No,,,Y,Y,,Y,,Woman,26.0,2,No,25-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRETMQ,1184.4,2003.8,394.8,0.2,6,Q,Secondary,Secondary,,,,,Y,,Y,Woman,32.0,0,Secondary,25-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSBHLH,1659.72,1292.0,553.24,0.43,2,F,Secondary,Secondary,Y,,,,,Y,Y,Woman,18.0,0,Secondary,18-24,Yes,,Always,Always,No,,,,,,,,,,,,,,,,,,,,,,,
EAUOAG,3000.0,2976.9,1053.5,0.35,2,B,No,No,,,Y,Y,,,,Woman,27.0,1,No,25-34,Yes,,Always,Usually,Yes,No,,,,Food,"Credit card balance or debts, e.g. Afterpay",,I don't feel any different,"3. I want to look after my home better and am trying to make changes, but it's early days",,,,,,,,,,,,,,
EHGLQO,2866.0,1398.0,404.0,0.29,2,F,Secondary,Secondary,Y,Y,Y,,,Y,,Man,20.0,1,Secondary,18-24,Yes,,Always,Always,No,Yes,Most of the two months,,,,"Credit card balance or debts, e.g. Afterpay",,I don't feel any different,"5. I keep my home safe, warm, and well maintained and report repairs",,,,,,,,,,,,,,
EHKXZO,1178.1,2711.2,523.6,0.19,1,A,Secondary and Tertiary,Secondary,,,,Y,Y,,Y,Woman,35.0,0,Secondary,35-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHTTPL,3213.1,1543.0,553.22,0.36,2,F,Secondary,Secondary,Y,,Y,,,Y,Y,Man,23.0,2,Secondary,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFVGS,2932.5,2148.47,977.5,0.45,2,D,Secondary,Secondary,Y,,Y,Y,Y,,Y,Non-binary,24.0,0,Secondary,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPKJBZ,3500.0,1892.4,1083.0,0.57,2,F,No,No,Y,,Y,,Y,,,Man,22.0,0,No,18-24,Yes,,Usually,Usually,No,Yes,One to 3 weeks,"Electricity, gas or phone bill",,Food,,,I don't feel any different,"4. I'm finding ways to look after my home well, but need to sort out a few issues",No,I am now living in a different share house or in my own home - paying rent.,Rent was increased and unable to afford new rent.,3. I sometimes get help with getting or keeping accommodation,Sometimes,Usually,Yes,3. I sometimes get help with my money,"Yes, I have not had enough money to pay rent for one month","I didn't have enough money to pay for an electricity, gas or phone bill on time",,,,"4. I'm finding ways to look after my home well, but need to sort out a few issues"
EPXHPF,3067.5,2704.75,790.0,0.29,2,D,No,No,Y,,Y,Y,Y,,,Man,25.0,0,No,25-34,Yes,,Usually,Always,No,No,,,,,,No- I have been able to cover all expenses.,I don't feel any different,"4. I'm finding ways to look after my home well, but need to sort out a few issues",Yes,,,3. I sometimes get help with getting or keeping accommodation,Usually,Always,No,"6. I'm sorting out my money and trying to manage with what I've got, bt it's hard","No, I have been able to pay my rent in full and on time",,,,I have had enough money to pay for all my bills,"4. I'm finding ways to look after my home well, but need to sort out a few issues"
EUEWOS,3000.0,2496.68,1197.2,0.48,5,S,No,Secondary,Y,,,Y,,,,Woman,19.0,1,Secondary,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBWKVD,1722.0,2722.0,574.4,0.21,6,Q,Primary and Secondary,Secondary,Y,,Y,,Y,,Y,Man,54.0,0,Secondary,50+,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCNSBD,1988.01,980.0,579.35,0.59,2,K,Secondary,Secondary,Y,,,Y,,,Y,Man,21.0,0,Secondary,18-24,Yes,,Always,Usually,Yes,No,,"Electricity, gas or phone bill",,,,,I now feel I have it covered,"5. I keep my home safe, warm, and well maintained and report repairs",,,,,,,,,,,,,,
FDFVSB,2868.0,4116.0,956.0,0.23,2,G,No,No,,,Y,,Y,,,Woman,,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FETIGV,1148.4,2607.8,510.4,0.2,1,A,Primary and Secondary,Secondary,Y,,,,,,Y,Woman,47.0,1,Secondary,35-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FKQENQ,3000.0,1885.6,1390.48,0.74,2,G,Primary and Secondary,Secondary,Y,,Y,Y,,,,Man,22.0,0,Secondary,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPIELF,3250.0,1555.9,1080.0,0.69,2,K,Secondary,Secondary,Y,,Y,,,,Y,Woman,24.0,0,Secondary,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRCIXV,3000.0,3086.2,1165.6,0.38,5,S,Secondary,Secondary,Y,,,Y,Y,Y,,Woman,23.0,0,Secondary,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSJDDG,1390.75,3563.24,380.25,0.11,2,G,Secondary,No,Y,,,,Y,,Y,Woman,21.0,0,No,18-24,Yes,,Always,Usually,Yes,No,,,,,,No- I have been able to cover all expenses.,I now feel I have it covered,"5. I keep my home safe, warm, and well maintained and report repairs",,,,,,,,,,,,,,
FVPRAZ,1979.73,1912.64,659.91,0.35,2,F,No,No,,Y,Y,,Y,,,Man,31.0,0,No,25-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBASKF,3000.0,2658.4,2145.0,0.81,2,G,No,No,,,,Y,,,,Woman,,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCQWLI,3000.0,2013.0,2216.0,1.1,2,G,Secondary,Secondary,Y,Y,,,Y,,Y,Woman,20.0,2,Secondary,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOLMM,5129.01,1792.08,1652.0,0.92,2,I,Tertiary,Tertiary,,,,Y,,,Y,Woman,26.0,2,Tertiary,25-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GGDNZZ,2297.6,1146.0,599.8,0.52,2,K,Secondary,Secondary,Y,,Y,,,Y,,Woman,19.0,1,Secondary,18-24,Yes,,Always,Always,Yes,No,,"Electricity, gas or phone bill",,Food,"Credit card balance or debts, e.g. Afterpay",,I don't feel any different,"5. I keep my home safe, warm, and well maintained and report repairs",Yes,,,"9. I live independently and manage my tenancy, with occasional support",Always,Always,Yes,"9. I manage my money well enough, with occasional support","No, I have been able to pay my rent in full and on time","I didn't have enough money to pay for an electricity, gas or phone bill on time",,I didn't have enough money to make the minimum repayment on my credit card and/or buy-now-pay-later balance on time (e.g. Afterpay),,"5. I keep my home safe, warm, and well maintained and report repairs"
GGNJKR,2400.0,1516.0,800.0,0.53,2,D,Primary and Secondary,Primary and secondary,Y,,,Y,,,,Man,22.0,0,Primary,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GKFOPN,3000.0,1113.24,1651.0,1.48,2,G,Secondary,Secondary,Y,,,Y,Y,,Y,Non-binary,18.0,0,Secondary,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMDNWI,1425.6,0.0,1452.0,#Error!,5,N,Secondary,Secondary,,,,Y,,,Y,Woman,,0,Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNQXUM,2908.9,1455.6,741.2,0.51,2,E,Secondary,Secondary,,,,,,,,Woman,25.0,0,Secondary,25-34,Yes,,Always,Always,Yes,No,,,,,,No- I have been able to cover all expenses.,I now feel I have it covered,"5. I keep my home safe, warm, and well maintained and report repairs",Yes,,,10. I live independently and manage my tenancy and don't need support with this,Always,Always,Yes,10. I can manage money well enough and don't need support with this,"No, I have been able to pay my rent in full and on time",,,,I have had enough money to pay for all my bills,"5. I keep my home safe, warm, and well maintained and report repairs"
GOYYKN,2376.3,1965.1,792.2,0.4,1,A,Secondary,Secondary,,,,,Y,,Y,Woman,43.0,3,Secondary,35-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRCBBS,1897.2,1973.6,632.4,0.32,1,A,Secondary,Secondary,Y,,Y,Y,Y,,Y,Woman,54.0,0,Secondary,50+,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDGZFW,3250.0,1682.0,1000.0,0.59,2,H,Secondary,Tertiary,,Y,,,,,,Man,25.0,0,Tertiary,25-34,Yes,,Always,Always,Yes,No,,"Electricity, gas or phone bill","Car repair, rego or insurance",,,No- I have been able to cover all expenses.,I now feel I have it covered,"3. I want to look after my home better and am trying to make changes, but it's early days",,,,,,,,,,,,,,
HEDKPO,2210.75,1868.8,674.66,0.36,2,G,No,No,Y,,Y,Y,,,,Woman,23.0,0,No,18-24,Yes,,Usually,Usually,No,Yes,Most of the two months,,"Car repair, rego or insurance",,"Credit card balance or debts, e.g. Afterpay",,I now feel I have it covered,"5. I keep my home safe, warm, and well maintained and report repairs",,,,,,,,,,,,,,
